Particle ID,Area (ABD),Area (Filled),Aspect Ratio,Average Blue,Average Green,Average Red,Calibration Factor,Calibration Image,Camera,Capture X,Capture Y,Ch1 Area,Ch1 Peak,Ch1 Width,Ch2 Area,Ch2 Peak,Ch2 Width,Ch2/Ch1 Ratio,Circle Fit,Circularity,Circularity (Hu),Compactness,Convex Perimeter,Convexity,Date,Diameter (ABD),Diameter (ESD),Diameter (FD),Edge Gradient,Elapsed Time,Elongation,Feret Angle Max,Feret Angle Min,Fiber Curl,Fiber Straightness,Filter Score,Geodesic Aspect Ratio,Geodesic Length,Geodesic Thickness,Image File,Image Height,Image Width,Image X,Image Y,Intensity,Length,Original Reference ID,Particles Per Chain,Perimeter,Ratio Blue/Green,Ratio Red/Blue,Ratio Red/Green,Roughness,Scatter Area,Scatter Peak,Scatter Width,Sigma Intensity,Source Image,Sphere Complement,Sphere Count,Sphere Unknown,Sphere Volume,Sum Intensity,Symmetry,Time,Timestamp,Transparency,Volume (ABD),Volume (ESD),Width
1,1.9210,1.9210,0.3734,190.3600,131.0800,139.1200,0.5544,1,1,905,441,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7081,0.4036,0.1637,2.4777,14.8544,0.4505,2024-04-08,1.5639,3.5266,1.5639,46.7600,1.9840,5.6054,-65.0000,50.0000,0.2461,0.8025,0.0000,0.1784,6.5629,1.1708,7-Pygsuia-SF-SW-NITRATE-day5-sample3-replicate3-08April2024_000001.tif,22,22,0,0,149.7600,5.2668,49162532-FD7F-44E5-9696-CF9BB1C802B8,2,15.4675,1.4522,0.7308,1.0613,1.0413,0.0000,0.0000,0.0000,8.9946,32,0.0000,0,0.0000,0.0000,3744.0000,0.0000,11:11:01,2024-04-08T11:11:01.303,0.5565,2.002873e+00,2.296504e+01,1.9404
2,1.3831,1.3831,0.1602,173.0556,138.1111,145.6111,0.5544,1,1,151,269,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7533,0.4474,0.0698,2.2352,17.2761,0.3750,2024-04-08,1.3270,4.3736,1.3270,47.3500,2.0470,4.8143,20.0000,-70.0000,0.0000,1.4502,0.0000,0.2077,5.1609,1.0720,7-Pygsuia-SF-SW-NITRATE-day5-sample3-replicate3-08April2024_000001.tif,20,26,24,0,149.3889,7.4844,4FE64961-77CF-40B2-8770-DACAB50DCA9D,2,12.4658,1.2530,0.8414,1.0543,0.7216,0.0000,0.0000,0.0000,7.1113,33,0.0000,0,0.0000,0.0000,2689.0000,0.5561,11:11:01,2024-04-08T11:11:01.361,0.6966,1.223636e+00,4.380421e+01,1.3860
3,1.2294,1.2294,0.1049,171.9375,142.0000,149.8125,0.5544,1,1,81,900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7095,0.4529,0.0755,2.2082,15.1666,0.6154,2024-04-08,1.2511,3.6498,1.2511,31.1579,2.1720,4.7257,20.0000,-70.0000,0.0000,1.3225,0.0000,0.2116,4.8208,1.0201,7-Pygsuia-SF-SW-NITRATE-day5-sample3-replicate3-08April2024_000001.tif,19,24,52,0,151.8125,6.3756,FA6A5410-6B14-4DAF-AB65-C82C5BCFD443,2,11.6818,1.2108,0.8713,1.0550,0.7702,0.0000,0.0000,0.0000,4.2163,35,0.0000,0,0.0000,0.0000,2429.0000,0.5342,11:11:01,2024-04-08T11:11:01.479,0.6572,1.025471e+00,2.545692e+01,0.8316
4,41.5902,41.5902,0.5212,131.9918,97.8238,99.4262,0.5544,1,1,1088,164,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5800,0.7232,0.7743,1.3827,30.9556,1.0000,2024-04-08,7.2770,8.6856,7.2770,93.6429,2.1720,1.7831,-80.0000,-10.0000,0.0175,0.9828,0.0000,0.5608,11.5639,6.4853,7-Pygsuia-SF-SW-NITRATE-day5-sample3-replicate3-08April2024_000001.tif,34,25,78,0,108.2295,11.3652,CA75B5B2-B63E-494B-AD64-EBF053A5F621,1,36.0985,1.3493,0.7533,1.0164,1.1661,0.0000,0.0000,0.0000,23.8707,35,0.0000,0,0.0000,0.0000,26408.0000,0.5676,11:11:01,2024-04-08T11:11:01.479,0.1622,2.017670e+02,3.430821e+02,5.2668
5,2.8431,2.8431,0.3507,173.8108,141.8919,150.2973,0.5544,1,1,770,100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6591,0.5036,0.3138,1.9856,14.3785,0.6789,2024-04-08,1.9026,3.4650,1.9026,49.5200,2.2810,3.9873,-85.0000,35.0000,0.4290,0.6998,0.0000,0.2508,6.7338,1.6888,7-Pygsuia-SF-SW-NITRATE-day5-sample3-replicate3-08April2024_000001.tif,23,21,105,0,152.3784,4.7124,52A45456-B897-4FF4-A412-00118EBE4983,2,16.8453,1.2250,0.8647,1.0592,1.1716,0.0000,0.0000,0.0000,6.7797,37,0.0000,0,0.0000,0.0000,5638.0000,0.7635,11:11:01,2024-04-08T11:11:01.596,0.4509,3.606169e+00,2.178253e+01,1.6632
6,1.1526,1.1526,0.1028,197.3333,134.6000,136.0667,0.5544,1,1,202,745,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7521,0.3930,0.0323,2.5443,22.3346,0.3061,2024-04-08,1.2114,5.9444,1.2114,27.2105,2.4060,5.8213,-45.0000,45.0000,0.0000,1.9798,0.0000,0.1718,5.1806,0.8899,7-Pygsuia-SF-SW-NITRATE-day5-sample3-replicate3-08April2024_000001.tif,28,27,128,0,153.4667,10.2564,3ABF61DE-9058-48B8-BF91-4A484F0B8389,2,12.1411,1.4661,0.6895,1.0109,0.5436,0.0000,0.0000,0.0000,2.7047,39,0.0000,0,0.0000,0.0000,2302.0000,0.8683,11:11:01,2024-04-08T11:11:01.715,0.7962,9.308514e-01,1.099823e+02,1.1088
7,2.9968,2.9968,0.3746,188.9487,124.3846,125.9487,0.5544,1,1,1006,826,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6127,0.4922,0.5206,2.0319,13.0268,0.9512,2024-04-08,1.9534,3.0338,1.9534,49.4074,2.4530,4.1419,35.0000,-45.0000,0.4953,0.6688,0.0000,0.2414,7.0462,1.7012,7-Pygsuia-SF-SW-NITRATE-day5-sample3-replicate3-08April2024_000001.tif,21,19,157,0,143.9231,4.7124,D46C5BDD-3582-4A12-84DA-B2241B804F2B,1,17.4948,1.5191,0.6666,1.0126,1.3430,0.0000,0.0000,0.0000,6.2445,40,0.0000,0,0.0000,0.0000,5613.0000,0.1250,11:11:01,2024-04-08T11:11:01.774,0.3561,3.902477e+00,1.462041e+01,1.6632
8,3.7652,3.7652,0.3410,170.4286,128.9796,137.2041,0.5544,1,1,886,501,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4953,0.4714,0.3877,2.1214,17.5312,0.8376,2024-04-08,2.1895,4.3890,2.1895,62.0625,2.4530,4.4393,50.0000,-35.0000,0.1799,0.8475,0.0000,0.2253,8.1767,1.8419,7-Pygsuia-SF-SW-NITRATE-day5-sample3-replicate3-08April2024_000001.tif,26,21,178,0,142.2857,6.9300,69B772F5-B748-4F1A-889B-26F8EA21D2A8,2,20.0372,1.3214,0.8051,1.0638,1.1429,0.0000,0.0000,0.0000,12.2658,40,0.0000,0,0.0000,0.0000,6972.0000,0.3579,11:11:01,2024-04-08T11:11:01.774,0.5011,5.495885e+00,4.426856e+01,1.6632
9,1.7673,1.7673,0.1561,201.6522,131.1304,128.5652,0.5544,1,1,271,677,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6007,0.4309,0.0675,2.3208,20.4312,0.3651,2024-04-08,1.5001,5.3746,1.5001,39.0000,2.5160,5.0949,-55.0000,35.0000,0.0000,1.4319,0.0000,0.1963,6.0014,1.1779,7-Pygsuia-SF-SW-NITRATE-day5-sample3-replicate3-08April2024_000001.tif,27,25,201,0,151.8696,8.5932,83018D72-C7B2-41F9-8AFB-9E1813BED98F,2,14.3587,1.5378,0.6376,0.9804,0.7028,0.0000,0.0000,0.0000,5.4796,41,0.0000,0,0.0000,0.0000,3493.0000,0.3529,11:11:01,2024-04-08T11:11:01.832,0.7209,1.767402e+00,8.128999e+01,1.3860
10,1.6905,1.6905,0.2212,174.3636,136.5909,146.1818,0.5544,1,1,46,462,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6940,0.4121,0.1459,2.4263,14.7063,0.6471,2024-04-08,1.4671,3.4804,1.4671,45.7391,2.5160,5.4387,-75.0000,0.0000,0.0000,1.0513,0.0000,0.1839,6.0643,1.1150,7-Pygsuia-SF-SW-NITRATE-day5-sample3-replicate3-08April2024_000001.tif,26,16,228,0,148.9091,6.3756,DB3CED0C-B647-4B6B-875B-10F14B3C46EF,2,14.3587,1.2765,0.8384,1.0702,0.9764,0.0000,0.0000,0.0000,5.1778,41,0.0000,0,0.0000,0.0000,3276.0000,0.6619,11:11:01,2024-04-08T11:11:01.832,0.5785,1.653398e+00,2.207426e+01,1.3860
