Particle ID,Area (ABD),Area (Filled),Aspect Ratio,Average Blue,Average Green,Average Red,Calibration Factor,Calibration Image,Camera,Capture X,Capture Y,Ch1 Area,Ch1 Peak,Ch1 Width,Ch2 Area,Ch2 Peak,Ch2 Width,Ch2/Ch1 Ratio,Circle Fit,Circularity,Circularity (Hu),Compactness,Convex Perimeter,Convexity,Date,Diameter (ABD),Diameter (ESD),Diameter (FD),Edge Gradient,Elapsed Time,Elongation,Feret Angle Max,Feret Angle Min,Fiber Curl,Fiber Straightness,Filter Score,Geodesic Aspect Ratio,Geodesic Length,Geodesic Thickness,Image File,Image Height,Image Width,Image X,Image Y,Intensity,Length,Original Reference ID,Particles Per Chain,Perimeter,Ratio Blue/Green,Ratio Red/Blue,Ratio Red/Green,Roughness,Scatter Area,Scatter Peak,Scatter Width,Sigma Intensity,Source Image,Sphere Complement,Sphere Count,Sphere Unknown,Sphere Volume,Sum Intensity,Symmetry,Time,Timestamp,Transparency,Volume (ABD),Volume (ESD),Width
1,2.0747,2.0747,0.1577,192.4444,139.0370,144.2222,0.5544,1,1,801,210,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7396,0.3734,0.0633,2.6778,23.0602,0.3462,2024-04-08,1.6253,6.2062,1.6253,40.6538,1.9680,6.2525,50.0000,-45.0000,0.0000,1.4238,0.0000,0.1599,7.2033,1.1521,7-Pygsuia-SF-SW-sulfate-day5-sample2-replicate3-08April2024_000001.tif,29,25,0,0,155.5556,10.2564,F59D2663-D450-4397-8E14-A995C7788CA3,2,16.7108,1.3841,0.7494,1.0373,0.7247,0.0000,0.0000,0.0000,4.7558,32,0.0000,0,0.0000,0.0000,4200.0000,0.7931,10:14:11,2024-04-08T10:14:11.131,0.7381,2.247963e+00,1.251630e+02,1.6632
2,3.0736,3.0736,0.2151,179.9000,139.7000,150.1500,0.5544,1,1,522,273,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2614,0.2722,0.1052,3.6734,26.3667,0.4040,2024-04-08,1.9782,7.2534,1.9782,57.0789,2.0310,9.4344,60.0000,-15.0000,0.0000,1.0553,0.0000,0.1060,10.7699,1.1416,7-Pygsuia-SF-SW-sulfate-day5-sample2-replicate3-08April2024_000001.tif,35,20,27,0,152.9500,11.3652,78E93807-1B1C-417B-871E-407B7E3A5769,2,23.8229,1.2878,0.8346,1.0748,0.9035,0.0000,0.0000,0.0000,9.9196,33,0.0000,0,0.0000,0.0000,6118.0000,0.3138,10:14:11,2024-04-08T10:14:11.191,0.7273,4.053531e+00,1.998129e+02,1.9404
3,8.4121,8.4121,0.4288,185.1529,121.6353,121.2824,0.5544,1,1,525,217,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5996,0.6114,0.6337,1.6357,19.2291,1.0000,2024-04-08,3.2727,4.9896,3.2727,103.0000,2.0310,2.7788,-90.0000,20.0000,0.2295,0.8133,0.0000,0.3599,8.5205,3.0662,7-Pygsuia-SF-SW-sulfate-day5-sample2-replicate3-08April2024_000001.tif,27,20,49,0,140.5882,6.9300,22A892EB-8E7D-427D-85EE-0C58AFBF8A44,1,23.1734,1.5222,0.6550,0.9971,1.2051,0.0000,0.0000,0.0000,13.4648,33,0.0000,0,0.0000,0.0000,11950.0000,0.5401,10:14:11,2024-04-08T10:14:11.191,0.3441,1.835346e+01,6.504229e+01,2.2176
4,32.7967,32.7967,0.7980,158.7854,105.6390,104.1220,0.5544,1,1,607,687,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.8600,1.0000,0.9749,1.0000,25.0508,1.0000,2024-04-08,6.4620,6.8222,6.4620,111.6512,2.0930,1.0000,10.0000,-90.0000,0.0000,1.1590,0.0000,1.0000,6.9358,6.9358,7-Pygsuia-SF-SW-sulfate-day5-sample2-replicate3-08April2024_000001.tif,24,28,71,0,121.3415,8.0388,15FA316F-BD17-4053-A444-3E1FC9E39CBB,1,27.7431,1.5031,0.6557,0.9856,1.1075,0.0000,0.0000,0.0000,20.2656,34,0.0000,0,0.0000,0.0000,24875.0000,0.9521,10:14:11,2024-04-08T10:14:11.251,0.0528,1.412893e+02,1.662539e+02,5.2668
5,2.6126,2.6126,0.1770,201.5294,126.9118,136.0000,0.5544,1,1,319,885,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5134,0.3989,0.2895,2.5070,14.6870,1.0000,2024-04-08,1.8238,3.5574,1.8238,60.5517,2.2180,5.7004,-90.0000,-15.0000,0.3259,0.7542,0.0000,0.1754,7.7182,1.3540,7-Pygsuia-SF-SW-sulfate-day5-sample2-replicate3-08April2024_000001.tif,25,16,101,0,150.1765,5.8212,851C63E2-198A-4F99-9C25-CF8FF84FD498,1,18.1444,1.5879,0.6748,1.0716,1.2354,0.0000,0.0000,0.0000,5.2774,36,0.0000,0,0.0000,0.0000,5106.0000,0.4047,10:14:11,2024-04-08T10:14:11.369,0.4873,3.176595e+00,2.357202e+01,1.1088
6,8.9387,15.3084,0.8358,161.5227,121.4205,120.4545,0.5544,1,1,987,835,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.8753,0.9514,0.9766,1.0511,18.8245,1.0000,2024-04-08,3.3736,4.8048,4.4149,97.1389,2.2180,1.0000,30.0000,-90.0000,0.0000,1.0463,0.0000,1.0000,5.5637,5.5637,7-Pygsuia-SF-SW-sulfate-day5-sample2-replicate3-08April2024_000001.tif,22,23,119,0,133.3750,5.8212,3042D0C2-8BF3-49C8-A4AD-D6EACAA76D27,1,22.2548,1.3303,0.7457,0.9920,1.1822,0.0000,0.0000,0.0000,14.3775,36,0.0000,0,0.0000,0.0000,11737.0000,0.7738,10:14:11,2024-04-08T10:14:11.369,0.2979,2.010383e+01,5.807973e+01,4.1580
7,1.7673,1.7673,0.2352,214.8696,126.2609,127.2174,0.5544,1,1,680,777,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.8099,0.5717,0.1227,1.7493,15.1086,0.4554,2024-04-08,1.5001,3.6806,1.5001,59.5000,2.2180,3.1812,-90.0000,-5.0000,0.0000,1.1106,0.0000,0.3143,4.7422,1.4907,7-Pygsuia-SF-SW-sulfate-day5-sample2-replicate3-08April2024_000001.tif,25,16,144,0,152.8261,5.2668,C76AB7F1-48BE-4E97-BFF0-37F5EFDD2955,2,12.4658,1.7018,0.5921,1.0076,0.8251,0.0000,0.0000,0.0000,5.7001,36,0.0000,0,0.0000,0.0000,3515.0000,0.6483,10:14:11,2024-04-08T10:14:11.369,0.5924,1.767402e+00,2.610685e+01,1.3860
8,8.7624,8.7624,0.6044,154.7356,117.0460,111.0460,0.5544,1,1,1156,444,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6626,0.2198,0.3838,4.5497,22.7597,0.6444,2024-04-08,3.3402,6.1754,3.3402,95.0984,2.2180,12.2113,-80.0000,0.0000,1.1029,0.4755,0.0000,0.0819,18.0703,1.4798,7-Pygsuia-SF-SW-sulfate-day5-sample2-replicate3-08April2024_000001.tif,29,22,162,0,127.5747,8.5932,0252B6AF-F7D9-4588-9BCC-592AE3023E17,1,39.1001,1.3220,0.7176,0.9487,1.7180,0.0000,0.0000,0.0000,12.2930,36,0.0000,0,0.0000,0.0000,11099.0000,0.6323,10:14:11,2024-04-08T10:14:11.369,0.4591,1.951194e+01,1.233088e+02,4.1580
9,1.7673,1.7673,0.1830,189.0435,131.5652,142.4348,0.5544,1,1,450,657,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7945,0.6027,0.0910,1.6593,17.4597,0.4035,2024-04-08,1.5001,4.4044,1.5001,79.4211,2.2650,2.8637,40.0000,-25.0000,0.0000,1.4170,0.0000,0.3492,4.4994,1.5712,7-Pygsuia-SF-SW-sulfate-day5-sample2-replicate3-08April2024_000001.tif,26,20,186,0,149.9565,6.3756,654609DD-A59D-42C6-8143-A228FCC89FF5,2,12.1411,1.4369,0.7534,1.0826,0.6954,0.0000,0.0000,0.0000,9.4523,37,0.0000,0,0.0000,0.0000,3449.0000,0.7652,10:14:11,2024-04-08T10:14:11.426,0.6594,1.767402e+00,4.473618e+01,1.3860
10,1.7673,1.7673,0.2016,173.6522,140.0435,149.8696,0.5544,1,1,770,143,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7605,0.7053,0.1386,1.4177,14.0447,0.5750,2024-04-08,1.5001,3.2494,1.5001,58.4737,2.2650,1.9380,-70.0000,35.0000,0.0000,1.4229,0.0000,0.5160,3.7013,1.9099,7-Pygsuia-SF-SW-sulfate-day5-sample2-replicate3-08April2024_000001.tif,22,21,208,0,151.2174,5.2668,5B4817BE-EAE7-4B4F-B80D-D581CF29DB78,2,11.2225,1.2400,0.8630,1.0702,0.7991,0.0000,0.0000,0.0000,5.6180,37,0.0000,0,0.0000,0.0000,3478.0000,0.7285,10:14:11,2024-04-08T10:14:11.426,0.5384,1.767402e+00,1.796421e+01,1.1088
11,33.9080,33.9080,0.9016,157.3619,103.9762,101.0667,0.5544,1,1,428,794,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.8702,0.9441,0.9783,1.0592,25.7783,1.0000,2024-04-08,6.5706,7.0224,6.5706,115.1556,2.3280,1.0000,-15.0000,-90.0000,0.0000,1.0970,0.0000,1.0000,7.3278,7.3278,7-Pygsuia-SF-SW-sulfate-day5-sample2-replicate3-08April2024_000001.tif,26,28,231,0,119.5762,8.0388,137D10C2-F3D5-41DF-9E98-AA29A4DDFDE8,1,29.3112,1.5134,0.6423,0.9720,1.1370,0.0000,0.0000,0.0000,19.7666,38,0.0000,0,0.0000,0.0000,25111.0000,0.7662,10:14:11,2024-04-08T10:14:11.483,0.0643,1.485312e+02,1.813240e+02,6.3756
12,2.3820,2.3820,0.2022,179.4839,134.9355,138.3548,0.5544,1,1,244,494,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6283,0.4533,0.1192,2.2058,18.8144,0.5167,2024-04-08,1.7415,4.8972,1.7415,56.0769,2.3280,4.7178,45.0000,-35.0000,0.0000,1.1990,0.0000,0.2120,6.7046,1.4211,7-Pygsuia-SF-SW-sulfate-day5-sample2-replicate3-08April2024_000001.tif,26,22,261,0,148.5806,8.0388,FCF011D9-B09E-413C-A6DA-719A5CA55F89,2,16.2515,1.3301,0.7708,1.0253,0.8638,0.0000,0.0000,0.0000,8.3850,38,0.0000,0,0.0000,0.0000,4606.0000,0.5488,10:14:11,2024-04-08T10:14:11.483,0.6444,2.765579e+00,6.149533e+01,1.6632
13,17.2941,17.2941,0.6742,139.7803,97.1818,100.7348,0.5544,1,1,1058,760,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7944,0.9605,0.9182,1.0411,20.0231,1.0000,2024-04-08,4.6925,5.2052,4.6925,114.4324,2.3900,1.0000,-45.0000,65.0000,0.0000,1.2032,0.0000,1.0000,5.7597,5.7597,7-Pygsuia-SF-SW-sulfate-day5-sample2-replicate3-08April2024_000001.tif,22,24,285,0,110.4015,6.9300,CA606E01-55C4-4EC6-BAB1-0515BEAF749D,1,23.0388,1.4383,0.7207,1.0366,1.1506,0.0000,0.0000,0.0000,21.9624,39,0.0000,0,0.0000,0.0000,14573.0000,0.8998,10:14:11,2024-04-08T10:14:11.544,0.0985,5.410147e+01,7.384326e+01,3.6036
14,1.6136,1.6136,0.1532,182.1905,144.2857,155.6190,0.5544,1,1,602,625,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6316,0.4715,0.0679,2.1207,19.4715,0.3853,2024-04-08,1.4334,5.0820,1.4334,46.7727,2.3900,4.4371,30.0000,-55.0000,0.0000,1.6057,0.0000,0.2254,5.3516,1.2061,7-Pygsuia-SF-SW-sulfate-day5-sample2-replicate3-08April2024_000001.tif,22,27,311,0,156.9524,8.5932,80E48D67-4E01-4BA2-8BBF-E0A9388EBB47,2,13.1154,1.2627,0.8542,1.0785,0.6736,0.0000,0.0000,0.0000,9.5841,39,0.0000,0,0.0000,0.0000,3296.0000,0.5880,10:14:11,2024-04-08T10:14:11.544,0.7180,1.541958e+00,6.872308e+01,1.3860
15,2.5357,2.5357,0.1623,165.7576,140.2424,144.5455,0.5544,1,1,193,505,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6604,0.4564,0.0576,2.1909,28.8782,0.2694,2024-04-08,1.7968,8.0234,1.7968,40.6923,2.3900,4.6688,-50.0000,35.0000,0.0000,1.7321,0.0000,0.2142,6.8815,1.4739,7-Pygsuia-SF-SW-sulfate-day5-sample2-replicate3-08April2024_000001.tif,32,31,340,0,148.3030,11.9196,2BA7387D-F987-4937-8AB0-522F29D9C05A,2,16.7108,1.1819,0.8720,1.0307,0.5787,0.0000,0.0000,0.0000,6.8423,39,0.0000,0,0.0000,0.0000,4894.0000,0.6516,10:14:11,2024-04-08T10:14:11.544,0.7761,3.037487e+00,2.704419e+02,1.9404
16,1.1526,1.1526,0.2100,197.0667,146.9333,157.1333,0.5544,1,1,706,500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7197,0.3023,0.0572,3.3079,18.4905,0.3030,2024-04-08,1.2114,4.7124,1.2114,27.9500,2.4530,8.2712,-55.0000,35.0000,0.0000,1.3018,0.0000,0.1209,6.1752,0.7466,7-Pygsuia-SF-SW-sulfate-day5-sample2-replicate3-08April2024_000001.tif,26,23,373,0,163.1333,8.0388,1BD5D6B5-F9CE-4B6E-B78A-A4D8E3373F69,2,13.8437,1.3412,0.7974,1.0694,0.7487,0.0000,0.0000,0.0000,5.0579,40,0.0000,0,0.0000,0.0000,2447.0000,0.6660,10:14:11,2024-04-08T10:14:11.602,0.7429,9.308514e-01,5.479300e+01,1.3860
17,1.5368,1.5368,0.1363,186.6500,143.5000,150.7500,0.5544,1,1,521,381,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6478,0.4491,0.1034,2.2268,16.0781,0.6667,2024-04-08,1.3988,3.9732,1.3988,32.5000,2.4530,4.7867,-85.0000,5.0000,0.0000,1.2776,0.0000,0.2089,5.4244,1.1332,7-Pygsuia-SF-SW-sulfate-day5-sample2-replicate3-08April2024_000001.tif,27,16,398,0,157.2000,6.9300,9D4B01C9-5596-41AC-9D39-F6139253FD2E,2,13.1154,1.3007,0.8077,1.0505,0.8157,0.0000,0.0000,0.0000,3.6688,40,0.0000,0,0.0000,0.0000,3144.0000,0.2898,10:14:11,2024-04-08T10:14:11.602,0.6479,1.433140e+00,3.284127e+01,1.1088
