Particle ID,Area (ABD),Area (Filled),Aspect Ratio,Average Blue,Average Green,Average Red,Calibration Factor,Calibration Image,Camera,Capture X,Capture Y,Ch1 Area,Ch1 Peak,Ch1 Width,Ch2 Area,Ch2 Peak,Ch2 Width,Ch2/Ch1 Ratio,Circle Fit,Circularity,Circularity (Hu),Compactness,Convex Perimeter,Convexity,Date,Diameter (ABD),Diameter (ESD),Diameter (FD),Edge Gradient,Elapsed Time,Elongation,Feret Angle Max,Feret Angle Min,Fiber Curl,Fiber Straightness,Filter Score,Geodesic Aspect Ratio,Geodesic Length,Geodesic Thickness,Image File,Image Height,Image Width,Image X,Image Y,Intensity,Length,Original Reference ID,Particles Per Chain,Perimeter,Ratio Blue/Green,Ratio Red/Blue,Ratio Red/Green,Roughness,Scatter Area,Scatter Peak,Scatter Width,Sigma Intensity,Source Image,Sphere Complement,Sphere Count,Sphere Unknown,Sphere Volume,Sum Intensity,Symmetry,Time,Timestamp,Transparency,Volume (ABD),Volume (ESD),Width
1,1.6136,1.6136,0.1560,170.9524,118.0476,124.6190,0.5544,1,1,1242,584,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7318,0.5220,0.0770,1.9159,17.8289,0.4200,2024-04-08,1.4334,4.4814,1.4334,39.8000,2.0310,3.7524,-60.0000,20.0000,0.0000,1.5208,0.0000,0.2665,4.9214,1.3115,7-Pygsuia-SF-SW-sulfate-day5-sample3-replicate3A-08April2024_000001.tif,27,20,0,0,134.5714,7.4844,A08EBE9E-39CB-4D10-B94A-ED090CE01C60,2,12.4658,1.4482,0.7290,1.0557,0.6992,0.0000,0.0000,0.0000,5.3592,33,0.0000,0,0.0000,0.0000,2826.0000,0.5709,10:32:55,2024-04-08T10:32:55.190,0.6802,1.541958e+00,4.712374e+01,1.3860
2,1.6905,1.6905,0.1295,165.2727,141.2273,142.7273,0.5544,1,1,14,97,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7187,0.4121,0.0343,2.4263,26.6526,0.2366,2024-04-08,1.4671,7.3458,1.4671,39.6522,2.0310,5.4387,60.0000,-20.0000,0.0000,1.8741,0.0000,0.1839,6.0643,1.1150,7-Pygsuia-SF-SW-sulfate-day5-sample3-replicate3A-08April2024_000001.tif,35,20,22,0,148.5455,11.3652,021A0B62-5B61-4875-8988-E7C3BD96EB6C,2,14.3587,1.1703,0.8636,1.0106,0.5387,0.0000,0.0000,0.0000,5.4500,33,0.0000,0,0.0000,0.0000,3268.0000,0.6585,10:32:55,2024-04-08T10:32:55.190,0.8003,1.653398e+00,2.075467e+02,1.9404
3,1.7673,1.7673,0.2762,181.3043,144.0870,157.7391,0.5544,1,1,580,612,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.8353,0.3420,0.0742,2.9240,20.2153,0.2706,2024-04-08,1.5001,5.3130,1.5001,35.2222,2.0930,7.0442,70.0000,-25.0000,0.0000,1.0606,0.0000,0.1420,7.0567,1.0018,7-Pygsuia-SF-SW-sulfate-day5-sample3-replicate3A-08April2024_000001.tif,28,21,44,0,156.7826,7.4844,3E1EA870-E317-499A-A8EE-E4B9C9A36FC4,2,16.1170,1.2583,0.8700,1.0947,0.7973,0.0000,0.0000,0.0000,7.0708,34,0.0000,0,0.0000,0.0000,3606.0000,0.8967,10:32:55,2024-04-08T10:32:55.250,0.7177,1.767402e+00,7.852683e+01,1.9404
4,2.2284,2.2284,0.1797,203.6897,130.6897,123.8621,0.5544,1,1,286,590,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4583,0.3660,0.1338,2.7325,19.3394,0.5577,2024-04-08,1.6844,5.0512,1.6844,42.5185,2.0930,6.4290,-45.0000,45.0000,0.0000,1.1352,0.0000,0.1555,7.5699,1.1775,7-Pygsuia-SF-SW-sulfate-day5-sample3-replicate3A-08April2024_000001.tif,25,25,67,0,151.8621,8.5932,89F203B8-FA39-451F-B3FD-C90FB451E9FD,2,17.4948,1.5586,0.6081,0.9478,0.9046,0.0000,0.0000,0.0000,5.2504,34,0.0000,0,0.0000,0.0000,4404.0000,0.2804,10:32:55,2024-04-08T10:32:55.250,0.6665,2.502306e+00,6.748113e+01,1.3860
5,1.5368,1.5368,0.1380,189.4000,144.4000,152.0500,0.5544,1,1,404,468,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7223,0.5359,0.0748,1.8662,18.5566,0.6154,2024-04-08,1.3988,4.7432,1.3988,30.3500,2.0930,3.5837,0.0000,-90.0000,0.0000,1.7127,0.0000,0.2790,4.6936,1.3097,7-Pygsuia-SF-SW-sulfate-day5-sample3-replicate3A-08April2024_000001.tif,15,29,94,0,158.8500,8.0388,7C8F6D17-D917-4AFC-A18B-60FA655C2216,2,12.0066,1.3116,0.8028,1.0530,0.6470,0.0000,0.0000,0.0000,2.9879,34,0.0000,0,0.0000,0.0000,3177.0000,0.8447,10:32:55,2024-04-08T10:32:55.250,0.7051,1.433140e+00,5.587441e+01,1.1088
6,1.6905,1.6905,0.1249,174.6364,123.5909,136.6364,0.5544,1,1,1080,248,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7004,0.5588,0.0364,1.7895,26.4948,0.2458,2024-04-08,1.4671,7.2688,1.4671,54.5714,2.1560,3.3209,-50.0000,50.0000,0.0000,2.3984,0.0000,0.3011,4.7387,1.4270,7-Pygsuia-SF-SW-sulfate-day5-sample3-replicate3A-08April2024_000001.tif,30,29,125,0,140.3636,11.3652,56A4E2F7-922D-4822-80D0-4B349414B89C,2,12.3313,1.4130,0.7824,1.1056,0.4654,0.0000,0.0000,0.0000,7.4195,35,0.0000,0,0.0000,0.0000,3088.0000,0.7120,10:32:55,2024-04-08T10:32:55.309,0.7982,1.653398e+00,2.010883e+02,1.6632
7,2.5357,2.5357,0.2896,198.1515,126.8182,132.4545,0.5544,1,1,54,211,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7685,0.3609,0.1092,2.7712,21.0179,0.3437,2024-04-08,1.7968,5.6364,1.7968,46.3871,2.1560,6.5533,35.0000,-25.0000,0.0142,0.9860,0.0000,0.1526,8.1529,1.2441,7-Pygsuia-SF-SW-sulfate-day5-sample3-replicate3A-08April2024_000001.tif,27,23,156,0,148.7273,8.0388,48A6BC95-7EDB-4622-8508-208F6FCB1CB7,2,18.7939,1.5625,0.6685,1.0444,0.8942,0.0000,0.0000,0.0000,5.5063,35,0.0000,0,0.0000,0.0000,4908.0000,0.8625,10:32:55,2024-04-08T10:32:55.309,0.6812,3.037487e+00,9.375707e+01,2.2176
8,2.6126,2.6126,0.1825,191.8824,142.3824,153.1765,0.5544,1,1,542,414,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3029,0.0140,3.3012,55.9588,0.1021,2024-04-08,1.8238,16.6474,1.8238,42.3939,2.2650,8.2500,70.0000,-20.0000,0.0000,2.7764,0.0000,0.1212,9.2851,1.1255,7-Pygsuia-SF-SW-sulfate-day5-sample3-replicate3A-08April2024_000001.tif,61,30,181,0,158.3235,25.7796,7EB43017-82D8-45C3-8245-335FFF900D4F,3,20.8212,1.3477,0.7983,1.0758,0.3721,0.0000,0.0000,0.0000,4.2476,37,0.0000,0,0.0000,0.0000,5383.0000,0.0000,10:32:55,2024-04-08T10:32:55.425,0.8904,3.176595e+00,2.415671e+03,4.1580
9,2.3820,2.3820,0.1991,196.4839,140.4516,141.6452,0.5544,1,1,726,194,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4912,0.3637,0.0997,2.7496,21.7589,0.4079,2024-04-08,1.7415,5.7596,1.7415,38.3103,2.2650,6.4838,25.0000,-55.0000,0.0000,1.1638,0.0000,0.1542,7.8599,1.2122,7-Pygsuia-SF-SW-sulfate-day5-sample3-replicate3A-08April2024_000001.tif,26,27,213,0,157.3871,9.1476,84A51CDC-68A5-4B98-94AF-658C0EB94488,2,18.1444,1.3989,0.7209,1.0085,0.8339,0.0000,0.0000,0.0000,7.1422,37,0.0000,0,0.0000,0.0000,4879.0000,0.3770,10:32:55,2024-04-08T10:32:55.425,0.6976,2.765579e+00,1.000404e+02,1.9404
10,1.5368,1.5368,0.1597,196.1500,140.3500,148.0000,0.5544,1,1,533,633,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7672,0.5989,0.0858,1.6697,16.9294,0.4706,2024-04-08,1.3988,4.2042,1.3988,40.2778,2.3280,2.9009,35.0000,-40.0000,0.0000,1.6411,0.0000,0.3447,4.2228,1.4557,7-Pygsuia-SF-SW-sulfate-day5-sample3-replicate3A-08April2024_000001.tif,24,22,242,0,157.9500,6.9300,707760C7-61FA-4FA7-BF0B-38E986C76D23,2,11.3570,1.3976,0.7545,1.0545,0.6708,0.0000,0.0000,0.0000,5.3988,38,0.0000,0,0.0000,0.0000,3159.0000,0.7308,10:32:55,2024-04-08T10:32:55.484,0.6673,1.433140e+00,3.890888e+01,1.1088
